Event Name,Event Path,No. of Files Backing Up,Size of Backup,Time
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,51,2024-04-24 00:44:56.927636
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,51,2024-04-24 00:44:56.948463
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,51,2024-04-24 00:44:56.950666
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,51,2024-04-24 00:44:56.951790
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,55,2024-04-24 00:45:03.387436
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,55,2024-04-24 00:45:03.388524
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,55,2024-04-24 00:45:03.389332
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,55,2024-04-24 00:45:03.390091
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,21,2024-04-24 11:18:56.676503
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,21,2024-04-24 11:18:56.687836
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,21,2024-04-24 11:18:56.693124
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,21,2024-04-24 11:18:56.699323
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,22,2024-04-24 11:23:14.447783
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,22,2024-04-24 11:23:14.461143
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,22,2024-04-24 11:23:14.468208
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,22,2024-04-24 11:23:14.473439
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,23,2024-04-24 11:25:22.230112
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,23,2024-04-24 11:25:22.241741
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,23,2024-04-24 11:25:22.248945
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,23,2024-04-24 11:25:22.257244
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,24,2024-04-24 11:28:47.796115
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,24,2024-04-24 11:28:47.810613
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,24,2024-04-24 11:28:47.817989
IN_MODIFY,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,24,2024-04-24 11:28:47.824862
IN_MOVED_TO,/home/maggy/SE/project_3/SE_Project_3/src/phoenix/Observation/watchDir,2,54,2024-04-24 11:33:39.934077
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,32,2024-04-24 17:16:12.416128
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,32,2024-04-24 17:16:12.439416
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,32,2024-04-24 17:16:12.448575
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,32,2024-04-24 17:16:12.456398
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,33,2024-04-24 17:20:32.460083
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,33,2024-04-24 17:20:32.473445
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,33,2024-04-24 17:20:32.476821
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,33,2024-04-24 17:20:32.482566
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,34,2024-04-24 17:22:15.873406
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,34,2024-04-24 17:22:15.884452
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,34,2024-04-24 17:22:15.887927
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,34,2024-04-24 17:22:15.892509
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,37,2024-04-24 17:26:34.909927
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,37,2024-04-24 17:26:34.926582
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,37,2024-04-24 17:26:34.933885
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,37,2024-04-24 17:26:34.940907
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,38,2024-04-24 17:27:34.091492
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,38,2024-04-24 17:27:34.106914
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,38,2024-04-24 17:27:34.119281
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,38,2024-04-24 17:27:34.133639
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,40,2024-04-24 17:28:57.048590
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,40,2024-04-24 17:28:58.911943
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,40,2024-04-24 17:29:00.584081
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,40,2024-04-24 17:29:02.561496
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,41,2024-04-24 17:30:29.086789
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,41,2024-04-24 17:30:31.136305
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,41,2024-04-24 17:30:33.192190
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,41,2024-04-24 17:30:35.156250
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,4167,2024-04-24 17:31:53.052219
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,4167,2024-04-24 17:31:53.059027
IN_DELETE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,4167,2024-04-24 17:31:53.064695
IN_DELETE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,4167,2024-04-24 17:31:53.073290
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,4167,2024-04-24 17:31:53.078198
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/.watch2.txt.swp,1,4096,2024-04-24 17:31:54.792468
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/.watch2.txt.swp,1,12288,2024-04-24 17:32:11.831602
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,12362,2024-04-24 17:32:11.836051
IN_DELETE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,12362,2024-04-24 17:32:11.841537
IN_MOVED_FROM,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,12362,2024-04-24 17:32:11.853271
IN_MOVED_TO,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,12362,2024-04-24 17:32:11.864412
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/.watch2.txt.swp,1,12288,2024-04-24 17:32:13.504444
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,12362,2024-04-24 17:32:13.511812
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,44,2024-04-24 17:32:15.445060
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/.watch2.txt.swp,1,12288,2024-04-24 17:32:17.221627
IN_DELETE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,12362,2024-04-24 17:32:17.257681
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/.watch2.txt.swp,1,12288,2024-04-24 17:32:19.271055
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/.watch2.txt.swp,1,12288,2024-04-24 17:32:20.963193
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,4,12414,2024-04-24 17:32:25.850062
IN_DELETE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,12370,2024-04-24 17:32:25.854545
IN_MOVED_FROM,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,2,82,2024-04-24 17:32:25.860061
IN_MOVED_TO,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,2,82,2024-04-24 17:32:25.867559
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,2,82,2024-04-24 17:32:25.875049
IN_MODIFY,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir/watch2.txt,1,52,2024-04-24 17:32:27.501274
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,3,82,2024-04-24 17:38:14.497553
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,4,82,2024-04-24 17:40:41.532948
IN_CREATE,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,5,82,2024-04-24 17:43:49.433392
IN_MOVED_FROM,/home/prakhar/Desktop/3-2/Software Engineering/Projects/SE_Project_3/src/phoenix/Observation/watchDir,4,82,2024-04-24 17:44:14.499245
IN_MODIFY,/home/adyanshk/Personal/courses/SE/SE_Project_3/src/phoenix/Observation/watchDir2/2,1,6,2024-04-24 23:44:07.871344
IN_MODIFY,/home/adyanshk/Personal/courses/SE/SE_Project_3/src/phoenix/Observation/watchDir2/2,1,6,2024-04-24 23:44:07.887852
IN_MODIFY,/home/adyanshk/Personal/courses/SE/SE_Project_3/src/phoenix/Observation/watchDir2/2,1,6,2024-04-24 23:44:07.898644
IN_MODIFY,/home/adyanshk/Personal/courses/SE/SE_Project_3/src/phoenix/Observation/watchDir2/2,1,6,2024-04-24 23:44:07.908227
